MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1333830	Mrps26	mitochondrial ribosomal protein S26	2		mitochondrial small ribosomal subunit			IBA	PTN001077755 	J:265628 
MGI:1919064	Mrps27	mitochondrial ribosomal protein S27	13		mitochondrial small ribosomal subunit			ISO	Q92552 	J:164563 
MGI:1913480	Mrps28	mitochondrial ribosomal protein S28	3		mitochondrial small ribosomal subunit			IBA	PTN001002997 	J:265628 
MGI:1926237	Mrps30	mitochondrial ribosomal protein S30	13		mitochondrial large ribosomal subunit			IBA	PTN002294086 	J:265628 
MGI:1926237	Mrps30	mitochondrial ribosomal protein S30	13		mitochondrial large ribosomal subunit			ISO	Q9NP92 	J:164563 
MGI:1913153	Mrps31	mitochondrial ribosomal protein S31	8		mitochondrial small ribosomal subunit			IEA	IPR026299 	J:72247 
MGI:1930188	Mrps34	mitochondrial ribosomal protein S34	17		mitochondrial small ribosomal subunit			IBA	PTN002408389 	J:265628 
MGI:2385255	Mrps35	mitochondrial ribosomal protein S35	6		mitochondrial small ribosomal subunit			IBA	PTN000337133 	J:265628 
MGI:1913378	Mrps36	mitochondrial ribosomal protein S36	13		mitochondrial small ribosomal subunit			ISO	P82909 	J:164563 
MGI:102493	mt-Rnr1	mitochondrially encoded 12S rRNA	MT		mitochondrial small ribosomal subunit			TAS		J:22484 
MGI:102492	mt-Rnr2	mitochondrially encoded 16S rRNA	MT		mitochondrial large ribosomal subunit			TAS		J:22484 
MGI:1918355	Mterf4	mitochondrial transcription termination factor 4	1		mitochondrial large ribosomal subunit			ISO	Q7Z6M4 	J:175816 
MGI:1917566	Ndufab1	NADH:ubiquinone oxidoreductase subunit AB1	7	colocalizes_with	mitochondrial large ribosomal subunit			ISO	O14561 	J:164563 
MGI:106184	Npm1	nucleophosmin 1	11		large ribosomal subunit			IDA		J:142821 
MGI:106184	Npm1	nucleophosmin 1	11		small ribosomal subunit			IDA		J:142821 
MGI:2146565	Nsun3	NOL1/NOP2/Sun domain family member 3	16		mitochondrial large ribosomal subunit			IBA	PTN000516152 	J:265628 
MGI:1919431	Nsun4	NOL1/NOP2/Sun domain family, member 4	4		mitochondrial large ribosomal subunit			ISO	Q96CB9 	J:175816 
MGI:101849	Rack1	receptor for activated C kinase 1	11		cytosolic small ribosomal subunit			IBA	PTN000458645 	J:265628 
MGI:101849	Rack1	receptor for activated C kinase 1	11		small ribosomal subunit			ISO	RGD:69229 	J:155856 
MGI:1099460	Rbm3	RNA binding motif (RNP1, RRM) protein 3	X	colocalizes_with	large ribosomal subunit			IBA	PTN002554641 	J:265628 
MGI:1099460	Rbm3	RNA binding motif (RNP1, RRM) protein 3	X	colocalizes_with	large ribosomal subunit			ISO	RGD:620145 	J:155856 
MGI:1351605	Rpl3	ribosomal protein L3	15		cytosolic large ribosomal subunit			IBA	PTN000146039 	J:265628 
MGI:1351605	Rpl3	ribosomal protein L3	15		cytosolic large ribosomal subunit			ISO	RGD:735105 	J:155856 
MGI:1913461	Rpl3l	ribosomal protein L3-like	17		cytosolic large ribosomal subunit			IBA	PTN000146039 	J:265628 
MGI:1915141	Rpl4	ribosomal protein L4	9		cytosolic large ribosomal subunit			IBA	PTN000454620 	J:265628 
MGI:1915141	Rpl4	ribosomal protein L4	9		cytosolic large ribosomal subunit			ISO	RGD:619824 	J:155856 
MGI:1915141	Rpl4	ribosomal protein L4	9		large ribosomal subunit			ISO	RGD:619824 	J:155856 
MGI:102854	Rpl5	ribosomal protein L5	5		cytosolic large ribosomal subunit			IBA	PTN000601661 	J:265628 
MGI:102854	Rpl5	ribosomal protein L5	5		cytosolic large ribosomal subunit			ISO	RGD:619825 	J:155856 
MGI:108057	Rpl6	ribosomal protein L6	5		cytosolic large ribosomal subunit			IBA	PTN000076315 	J:265628 
MGI:108057	Rpl6	ribosomal protein L6	5		cytosolic large ribosomal subunit			ISO	RGD:619826 	J:155856 
MGI:108057	Rpl6	ribosomal protein L6	5		cytosolic large ribosomal subunit			ISO	Q02878 	J:164563 
MGI:98073	Rpl7	ribosomal protein L7	1		cytosolic large ribosomal subunit			IBA	PTN000897517 	J:265628 
MGI:98073	Rpl7	ribosomal protein L7	1		cytosolic large ribosomal subunit			IDA		J:9681 
MGI:98073	Rpl7	ribosomal protein L7	1		cytosolic large ribosomal subunit			ISO	RGD:735169 	J:155856 
