MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:98117	Rps15	ribosomal protein S15	10		cytosolic small ribosomal subunit			ISO	RGD:62026 	J:155856 
MGI:98117	Rps15	ribosomal protein S15	10		cytosolic small ribosomal subunit			ISO	P62841 	J:164563 
MGI:98117	Rps15	ribosomal protein S15	10		small ribosomal subunit			IEA	IPR005713 	J:72247 
MGI:2389091	Rps15a	ribosomal protein S15A	7		cytosolic small ribosomal subunit			IBA	PTN000204723 	J:265628 
MGI:2389091	Rps15a	ribosomal protein S15A	7		cytosolic small ribosomal subunit			ISO	RGD:619939 	J:155856 
MGI:2389091	Rps15a	ribosomal protein S15A	7		cytosolic small ribosomal subunit			ISO	P62244 	J:164563 
MGI:98118	Rps16	ribosomal protein S16	7		cytosolic small ribosomal subunit			IBA	PTN000490831 	J:265628 
MGI:98118	Rps16	ribosomal protein S16	7		cytosolic small ribosomal subunit			ISO	RGD:621031 	J:155856 
MGI:98118	Rps16	ribosomal protein S16	7		cytosolic small ribosomal subunit			ISO	P62249 	J:164563 
MGI:98118	Rps16	ribosomal protein S16	7		small ribosomal subunit			IBA	PTN000490829 	J:265628 
MGI:1309526	Rps17	ribosomal protein S17	7		cytosolic small ribosomal subunit			ISO	NM_017152 	J:49833 
MGI:1309526	Rps17	ribosomal protein S17	7		cytosolic small ribosomal subunit			ISO	P08708 	J:164563 
MGI:98146	Rps18	ribosomal protein S18	17		cytosolic small ribosomal subunit			ISO	RGD:3595 	J:155856 
MGI:98146	Rps18	ribosomal protein S18	17		cytosolic small ribosomal subunit			ISO	P62269 	J:164563 
MGI:98146	Rps18	ribosomal protein S18	17		small ribosomal subunit			IBA	PTN000093238 	J:265628 
MGI:1333780	Rps19	ribosomal protein S19	7		cytosolic small ribosomal subunit			IBA	PTN000194951 	J:265628 
MGI:1333780	Rps19	ribosomal protein S19	7		cytosolic small ribosomal subunit			ISO	P39019 	J:164563 
MGI:1914677	Rps20	ribosomal protein S20	4		cytosolic small ribosomal subunit			IBA	PTN000193513 	J:265628 
MGI:1914677	Rps20	ribosomal protein S20	4		cytosolic small ribosomal subunit			ISO	RGD:621037 	J:155856 
MGI:1914677	Rps20	ribosomal protein S20	4		cytosolic small ribosomal subunit			ISO	P60866 	J:164563 
MGI:1914677	Rps20	ribosomal protein S20	4		small ribosomal subunit			IBA	PTN000193512 	J:265628 
MGI:1913731	Rps21	ribosomal protein S21	2		cytosolic small ribosomal subunit			IBA	PTN000047682 	J:265628 
MGI:1913731	Rps21	ribosomal protein S21	2		cytosolic small ribosomal subunit			ISO	RGD:621038 	J:155856 
MGI:1913731	Rps21	ribosomal protein S21	2		cytosolic small ribosomal subunit			ISO	P63220 	J:164563 
MGI:1913725	Rps23	ribosomal protein S23	13		cytosolic small ribosomal subunit			IBA	PTN000183001 	J:265628 
MGI:1913725	Rps23	ribosomal protein S23	13		cytosolic small ribosomal subunit			ISO	RGD:621039 	J:155856 
MGI:1913725	Rps23	ribosomal protein S23	13		cytosolic small ribosomal subunit			ISO	P62266 	J:164563 
MGI:1913725	Rps23	ribosomal protein S23	13		small ribosomal subunit			ISO	RGD:621039 	J:155856 
MGI:98147	Rps24	ribosomal protein S24	14		cytosolic small ribosomal subunit			ISO	RGD:621040 	J:155856 
MGI:98147	Rps24	ribosomal protein S24	14		cytosolic small ribosomal subunit			ISO	NM_033022 	J:1948 
MGI:98147	Rps24	ribosomal protein S24	14		cytosolic small ribosomal subunit			ISO	P62847 	J:164563 
MGI:98147	Rps24	ribosomal protein S24	14		small ribosomal subunit			ISO	RGD:621040 	J:155856 
MGI:1922867	Rps25	ribosomal protein S25	9		cytosolic small ribosomal subunit			IBA	PTN000982949 	J:265628 
MGI:1922867	Rps25	ribosomal protein S25	9		cytosolic small ribosomal subunit			ISO	RGD:621043 	J:155856 
MGI:1922867	Rps25	ribosomal protein S25	9		cytosolic small ribosomal subunit			ISO	P62851 	J:164563 
MGI:1351628	Rps26	ribosomal protein S26	10		cytosolic small ribosomal subunit			IBA	PTN000283756 	J:265628 
MGI:1351628	Rps26	ribosomal protein S26	10		cytosolic small ribosomal subunit			ISO	RGD:621044 	J:155856 
MGI:1351628	Rps26	ribosomal protein S26	10		cytosolic small ribosomal subunit			ISO	P62854 	J:164563 
MGI:1888676	Rps27	ribosomal protein S27	3		cytosolic small ribosomal subunit			IBA	PTN000174285 	J:265628 
MGI:1925544	Rps27a	ribosomal protein S27A	11		cytosolic small ribosomal subunit			IBA	PTN002241455 	J:265628 
MGI:1925544	Rps27a	ribosomal protein S27A	11		cytosolic small ribosomal subunit			ISO	RGD:6489478 	J:155856 
MGI:1925544	Rps27a	ribosomal protein S27A	11		cytosolic small ribosomal subunit			ISO	RGD:620240 	J:155856 
MGI:1925544	Rps27a	ribosomal protein S27A	11		cytosolic small ribosomal subunit			ISO	P62979 	J:164563 
MGI:1925544	Rps27a	ribosomal protein S27A	11		small ribosomal subunit			IBA	PTN002241455 	J:265628 
MGI:1915191	Rps27l	ribosomal protein S27-like	9		cytosolic small ribosomal subunit			IBA	PTN000174285 	J:265628 
MGI:1859516	Rps28	ribosomal protein S28	17		cytosolic small ribosomal subunit			IBA	PTN000080571 	J:265628 
MGI:1859516	Rps28	ribosomal protein S28	17		cytosolic small ribosomal subunit			ISO	RGD:621046 	J:155856 
MGI:1859516	Rps28	ribosomal protein S28	17		cytosolic small ribosomal subunit			ISO	P62857 	J:164563 
MGI:107681	Rps29	ribosomal protein S29	12		cytosolic small ribosomal subunit			IBA	PTN000244187 	J:265628 
MGI:107681	Rps29	ribosomal protein S29	12		cytosolic small ribosomal subunit			ISO	L31610 	J:35064 
MGI:107681	Rps29	ribosomal protein S29	12		cytosolic small ribosomal subunit			ISO	RGD:3596 	J:155856 
MGI:107681	Rps29	ribosomal protein S29	12		cytosolic small ribosomal subunit			ISO	P62273 	J:164563 
MGI:105381	Rpsa	ribosomal protein SA	9		cytosolic small ribosomal subunit			IBA	PTN000160708 	J:265628 
MGI:105381	Rpsa	ribosomal protein SA	9		cytosolic small ribosomal subunit			ISO	RGD:71026 	J:155856 
MGI:105381	Rpsa	ribosomal protein SA	9		cytosolic small ribosomal subunit			ISO	P08865 	J:164563 
MGI:105381	Rpsa	ribosomal protein SA	9		small ribosomal subunit			IDA		J:41057 
MGI:2681840	Rsl24d1	ribosomal L24 domain containing 1	9		cytosolic large ribosomal subunit			IBA	PTN000846433 	J:265628 
MGI:98887	Uba52	ubiquitin A-52 residue ribosomal protein fusion product 1	8		cytosolic large ribosomal subunit			ISO	RGD:68344 	J:155856 
MGI:98887	Uba52	ubiquitin A-52 residue ribosomal protein fusion product 1	8		cytosolic small ribosomal subunit			IBA	PTN002241455 	J:265628 
MGI:98887	Uba52	ubiquitin A-52 residue ribosomal protein fusion product 1	8		small ribosomal subunit			IBA	PTN002241455 	J:265628 
MGI:1919955	Zcchc17	zinc finger, CCHC domain containing 17	4		cytosolic large ribosomal subunit			IDA		J:80171 
